A,B,score
Louisiana,Black_panther,0.985
Oregon,Reindeer,0.185
WESTERN_SAHARA,Hyena,0.88
Kiribati,Hornet,0.205
Mozambique,Hamster,0.95
Serbia,Partridge,0.32
Jordan,Nightingale,0.12
Malta,Lion,0.225
Ukraine,Hornet,0.195
Guatemala,Skunk,0.36
Alaska,Peafowl,0.805
Vatican_City,Snipe,0.325
Malawi,Heron,0.565
Rhode_Island,Skunk,0.17
Minnesota,Columbidae,0.26
WESTERN_SAHARA,Swallow,0.19
Minnesota,Gorilla,0.41
Colombia,Raven,0.165
EQUATORIAL_GUINEA,Goose,0.365
North_Carolina,Hyena,0.185
Maryland,Hamster,0.925
Texas,Goldfinch,0.58
Saudi_Arabia,Black_panther,0.38
DOMINICAN_REPUBLIC,Partridge,0.52
Italy,Fox,0.055
Sudan,Reindeer,0.68
Spain,Zebra,0.825
Ethiopia,Fox,0.79
Lithuania,Sheep,0.325
CZECH_REPUBLIC,Flamingo,0.635
Lithuania,Chamois,0.08
Denmark,Badger,0.515
Greece,Gazelle,0.545
Alabama,Cheetah,0.12
Luxembourg,Louse,0.6
Japan,Columbidae,0.675
Vatican_City,Jaguar,0.8
Hawaii,Goose,0.345
Turkey,Swallow,0.655
Sudan,Chamois,0.86
Barbados,Jackal,0.525
Tennessee,Mouse,0.29
Denmark,Manatee,0.725
Mozambique,Camel,0.88
Malta,Coyote,0.01
Tonga,Flamingo,0.57
Uganda,Fox,0.32
New_Jersey,Giant_Panda,0.91
Ukraine,Flamingo,0.985
Arizona,Donkey,0.42
South_Carolina,Mule,0.415
Canada,Rhinoceros,0.31
Greece,Sheep,0.23
Louisiana,Bison,0.565
Zambia,Snipe,0.33
Missouri,Beaver,0.855
Australia,Chamois,0.105
Maine,Goldfinch,0.59
Finland,Mallard,0.08
Monaco,Coyote,0.39
New_Jersey,Magpie,0.135
WESTERN_SAHARA,Coyote,0.78
Canada,Peafowl,0.815
Japan,Skunk,0.73
NEW_ZEALAND,Goldfinch,0.235
Malta,Sheep,0.555
Wyoming,Jaguar,0.585
Hawaii,Magpie,0.36
Nebraska,Magpie,0.105
Louisiana,Beaver,0.885
Ethiopia,Baboon,0.06
Uruguay,Swallow,0.05
Zimbabwe,Otter,0.13
Ukraine,Camel,0.155
Sweden,Wren,0.195
Tuvalu,Zebra,0.2
MARSHALL_ISLANDS,Wombat,0.605
Colombia,Black_panther,0.33
Oregon,Hamster,0.125
New_Mexico,Magpie,0.32
Spain,Magpie,0.795
Maine,Ostrich,0.415
Romania,Ostrich,0.185
Denmark,Goldfinch,0.615
Greece,Beaver,0.04
Kiribati,Fox,0.145
Massachusetts,Goldfinch,0.735
Vatican_City,Jackal,0.55
Australia,Black_panther,0.48
Kiribati,Human,0.05
CZECH_REPUBLIC,Black_panther,0.24
Greece,Columbidae,0.78
Alabama,Skunk,0.865
Virginia,Hornet,0.185
Malawi,Fox,0.925
NEW_ZEALAND,Jaguar,0.01
Monaco,Mule,0.335
Grenada,Mallard,0.555
Uruguay,Nightingale,0.29
Jordan,Badger,0.03
Uzbekistan,Reindeer,0.725
Oregon,Reindeer,0.5
Uzbekistan,Badger,0
Greece,Pinniped,0.36
Alabama,Chamois,0.355
Ecuador,Hamster,0.08
Arizona,Human,0.6
Kiribati,Cormorant,0.545
Grenada,Bison,0.465
South_Carolina,Pinniped,0.015
Uzbekistan,Pinniped,0.675
Mozambique,Chamois,0.855
Latvia,Swallow,0.85
Switzerland,Mouse,0.475
Massachusetts,Cormorant,0.755
DOMINICAN_REPUBLIC,Wren,0.66
Latvia,Wren,0.205
Zambia,Fish,0.385
Samoa,Quail,0.805
Luxembourg,Goldfinch,0.85
Georgia,Otter,0.905
Florida,Fish,0.795
TRINIDAD_AND_TOBAGO,Fish,0.89
Tonga,Baboon,0.725
Colombia,Partridge,0.87
COSTA_RICA,Snipe,0.77
Barbados,Giant_Panda,0.05
Uganda,Beaver,0.17
Taiwan,Wren,0.945
Texas,Mouse,0.99
Uruguay,Reindeer,0.735
Tunisia,Chamois,0.535
Samoa,Goose,0.41
Uruguay,Pelican,0.065
Massachusetts,Alligator,0.645
Madagascar,Camel,0.145
DOMINICAN_REPUBLIC,Giant_Panda,0.23
Romania,Donkey,0.26
Denmark,Ram,0.58
Michigan,Wombat,0.35
Namibia,Beaver,0.87
Georgia,Dolphin,0.96
Minnesota,Giant_Panda,0.94
Dominica,Goldfinch,0.125
Jordan,Hornet,0.475
Monaco,Goose,0.715
Wisconsin,Cormorant,0.2
EQUATORIAL_GUINEA,Lion,0.22
Nigeria,Black_panther,0.67
Taiwan,Pinniped,0.855
Hawaii,Moose,0.325
EQUATORIAL_GUINEA,Moose,0.61
Samoa,Goldfinch,0.94
Croatia,Gazelle,0.44
Tunisia,Camel,0.525
France,Black_panther,0.305
Alaska,Black_panther,0.595
Romania,Sheep,0.975
Pennsylvania,Flamingo,0.48
Guatemala,Chamois,0.885
Minnesota,Wren,0.43
Arizona,Sheep,0.39
Thailand,Hamster,0.46
Louisiana,Chamois,0.625
Cyprus,Skunk,0.325
Colombia,Fox,0.195
Ukraine,Skunk,0.225
Alabama,Reindeer,0.13
Washington,Pinniped,0.38
North_Carolina,Camel,0.94
Wyoming,Swallow,0.975
Latvia,Beaver,0.495
Malaysia,Beaver,0.35
Arizona,Zebra,0.61
Vatican_City,Snipe,0.41
Wisconsin,Moose,0.45
Slovakia,Sheep,0.24
Morocco,Cormorant,0.215
New_Mexico,Partridge,0.015
Singapore,Goose,0.96
South_Carolina,Hornet,0.32
Mississippi,Swallow,0.415
Turkey,Moose,0.15
Ghana,Ostrich,0.64
EQUATORIAL_GUINEA,Fish,0.305
Slovakia,Jackal,0.03
Namibia,Fish,0.57
Thailand,Chamois,0.93
Zimbabwe,Moose,0.775
Washington,Chamois,0.535
CZECH_REPUBLIC,Alligator,0.32
Netherlands,Gorilla,0.96
NEW_ZEALAND,Cobra,0.845
Denmark,Ostrich,0.43
Morocco,Wren,0.35
Rhode_Island,Hyena,0.25
Kiribati,Jaguar,0.715
DOMINICAN_REPUBLIC,Ostrich,0.655
DOMINICAN_REPUBLIC,Coyote,0.575
Virginia,Cheetah,0.54
Romania,Coyote,0.125
Sweden,Mouse,0.39
Singapore,Ostrich,0.4
Minnesota,Alligator,0.33
Canada,Cheetah,0.5
Alaska,Swallow,0.065
Grenada,Coyote,0.63
Tonga,Pinniped,0.39
CZECH_REPUBLIC,Swallow,0.315
Florida,Camel,0.995
Tennessee,Gerbil,0.165
Thailand,Ostrich,0.725
Cyprus,Manatee,0.335
Nauru,Flamingo,0.215
Zimbabwe,Louse,0.2
Dominica,Fox,0.115
France,Lion,0.95
Maine,Fox,0.33
France,Giraffe,0.845
Madagascar,Otter,0.3
Texas,Moose,0.86
MARSHALL_ISLANDS,Cormorant,0.775
Croatia,Columbidae,0.65
Romania,Nightingale,0.605
Florida,Reindeer,0.125
Tennessee,Raven,0.235
Serbia,Louse,0.885
Guatemala,Raven,0.91
Saudi_Arabia,Moose,0.865
Michigan,Badger,0.965
New_Jersey,Dolphin,0.95
New_Mexico,Goose,0.25
Tennessee,Sheep,0.89
Michigan,Lion,0.94
Switzerland,Skunk,0.015
Maine,Fish,0.08
California,Hamster,0.64
New_Jersey,Pelican,0.51
Greece,Pelican,0.425
CZECH_REPUBLIC,Black_panther,0.045
Zimbabwe,Snipe,0.975
Spain,Raven,0.735
Illinois,Giraffe,0.7
Michigan,Partridge,0.67
Kiribati,Heron,0.535
Maryland,Mule,0.82
Texas,Mule,0.605
EQUATORIAL_GUINEA,Columbidae,0.115
Cyprus,Goldfinch,0.995
Finland,Beaver,0.215
Grenada,Pinniped,0.875
Kiribati,Magpie,0.42
Georgia,Heron,0.125
Illinois,Giant_Panda,0.76
Spain,Manatee,0.175
Tonga,Nightingale,0.075
Wyoming,Cormorant,0.685
Monaco,Alligator,0.355
Guatemala,Columbidae,0.86
Louisiana,Quail,0.01
Serbia,Ostrich,0.97
CZECH_REPUBLIC,Hornet,0.02
Lithuania,Reindeer,0.96
Japan,Dolphin,0.245
Ethiopia,Goldfinch,0.885
Ecuador,Quail,0.03
Thailand,Goose,0.16
Malaysia,Jaguar,0.04
Finland,Hamster,0.775
Ireland,Badger,0.815
Canada,Pinniped,0.385
Texas,Mallard,0.315
Singapore,Fish,0.55
Rhode_Island,Gorilla,0.89
DOMINICAN_REPUBLIC,Magpie,0.965
Taiwan,Magpie,0.175
Switzerland,Raven,0.08
NEW_ZEALAND,Manatee,0.485
Malta,Camel,0.325
Florida,Magpie,0.07
Nebraska,Flamingo,0.515
Finland,Hamster,0.25
Ecuador,Quail,0.245
Croatia,Jackal,0.9
Zimbabwe,Flamingo,0.555
Singapore,Goldfinch,0.035
Dominica,Hornet,0.8
Ethiopia,Mallard,0.45
Mississippi,Dolphin,0.365
Mozambique,Camel,0.635
Romania,Hyena,0.09
Serbia,Baboon,0.015
Uzbekistan,Manatee,0.63
Latvia,Gazelle,0.12
Florida,Baboon,0.095
CZECH_REPUBLIC,Beaver,0.89
Tunisia,Donkey,0.485
NEW_ZEALAND,Columbidae,0.94
DOMINICAN_REPUBLIC,Wren,0.31
Wyoming,Lion,0.91
Michigan,Jackal,0.43
Sudan,Mule,0.645
California,Coyote,0.895
Finland,Manatee,0.14
Tennessee,Ram,0.66
Denmark,Hyena,0.29
Tennessee,Sheep,0.545
North_Carolina,Skunk,0.455
MARSHALL_ISLANDS,Wombat,0.82
Slovakia,Baboon,0.34
Morocco,Human,0.095
Madagascar,Wren,0.215
Croatia,Ostrich,0.425
Denmark,Fox,0.43
Cyprus,Jackal,0.175
Morocco,Beaver,0.9
Michigan,Flamingo,0.75
Minnesota,Goldfinch,0.675
Uganda,Camel,0.02
Spain,Raven,0.585
Nepal,Ram,0.32
Switzerland,Coyote,0.04
Namibia,Otter,0.755
Japan,Flamingo,0.955
Luxembourg,Skunk,0.805
Jordan,Sheep,0.435
Uruguay,Fox,0.11
Malta,Hyena,0.42
Thailand,Gerbil,0.5
Alabama,Rhinoceros,0.005
Tuvalu,Louse,0.78
Michigan,Giant_Panda,0.705
Madagascar,Baboon,0.22
Malta,Lion,0.745
DOMINICAN_REPUBLIC,Gorilla,0.31
Maine,Goldfinch,0.05
Tanzania,Gerbil,0.605
Italy,Pinniped,0.895
Morocco,Badger,0.26
Turkey,Mouse,0.005
Zambia,Otter,0.885
Slovenia,Black_panther,0.705
Ukraine,Camel,0.88
Singapore,Alligator,0.78
Slovakia,Heron,0.625
Malta,Pinniped,0.045
Madagascar,Snipe,0.81
Pennsylvania,Moose,0.35
Canada,Partridge,0.54
Arizona,Hyena,0.22
Croatia,Dolphin,0.08
Malawi,Black_panther,0.835
Netherlands,Ram,0.5
Finland,Fox,0.11
New_Mexico,Nightingale,0.385
DOMINICAN_REPUBLIC,Swallow,0.67
Thailand,Ostrich,0.3
Serbia,Otter,0.97
Tuvalu,Camel,0.57
Illinois,Moose,0.99
Alaska,Mule,0.42
Malaysia,Gazelle,0.325
Serbia,Hornet,0.175
Ghana,Mouse,0.5
Nigeria,Hyena,0.16
Italy,Swallow,0.645
Vatican_City,Hamster,0.755
Tanzania,Swallow,0.7
Italy,Giraffe,0.915
Hawaii,Crow,0.035
Serbia,Lion,0.645
COSTA_RICA,Chamois,0.51
Malaysia,Quail,0.655
Taiwan,Heron,0.57
Ecuador,Rhinoceros,0.535
Ghana,Fox,0.615
Wyoming,Cormorant,0.995
Malaysia,Crow,0.505
Uzbekistan,Ostrich,0.105
Jordan,Wombat,0.295
Ireland,Goldfinch,0.93
Latvia,Pelican,0.745
Singapore,Gorilla,0.62
Uzbekistan,Giant_Panda,0.265
Croatia,Pelican,0.175
Ireland,Goose,0.94
Mozambique,Black_panther,0.66
Minnesota,Donkey,0.67
Florida,Columbidae,0.61
Barbados,Donkey,0.61
New_Jersey,Cheetah,0.965
Taiwan,Jackal,0.46
Turkey,Moose,0.9
Slovakia,Magpie,0.2
Cyprus,Ram,0.395
Michigan,Columbidae,0.455
Tuvalu,Otter,0.995
Oregon,Badger,0.055
EL_SALVADOR,Ram,0.705
Mississippi,Crow,0.725
France,Pelican,0.95
Morocco,Black_panther,0.255
Thailand,Gazelle,0.55
Sudan,Hornet,0.485
Finland,Black_panther,0.465
Latvia,Bison,0.435
Nepal,Dolphin,0.465
Illinois,Giraffe,0.07
Singapore,Cheetah,0.345
Ethiopia,Hornet,0.495
Lithuania,Goldfinch,0.885
NEW_ZEALAND,Mallard,0.475
Malaysia,Sheep,0.685
Japan,Gerbil,0.745
Jordan,Mallard,0.685
Cyprus,Dolphin,0.31
Maryland,Louse,0.295
Mozambique,Hamster,0.47
Morocco,Manatee,0.575
Zambia,Coyote,0.26
Luxembourg,Rhinoceros,0.49
Lithuania,Camel,0.345
Namibia,Fish,0.22
EQUATORIAL_GUINEA,Columbidae,0.42
Wyoming,Jackal,0.51
Spain,Dolphin,0.09
Canada,Snipe,0.91
Oregon,Crow,0.845
Texas,Lion,0.865
Malawi,Chamois,0.38
Tunisia,Skunk,0.36
Thailand,Gazelle,0.395
Ukraine,Skunk,0.235
Namibia,Baboon,0.535
Maryland,Camel,0.58
Ukraine,Flamingo,0.09
Nebraska,Mouse,0.08
Mississippi,Heron,0.27
Arizona,Swallow,0.305
Texas,Columbidae,0.26
New_Mexico,Crow,0.885
Thailand,Badger,0.585
Australia,Gorilla,0.265
Nigeria,Fish,0.63
Uruguay,Raven,0.975
Romania,Mouse,0.125
Nigeria,Cormorant,0.755
MARSHALL_ISLANDS,Flamingo,0.765
Nebraska,Cormorant,0.975
Singapore,Sheep,0.305
Singapore,Magpie,0.665
Wyoming,Nightingale,0.97
Wyoming,Skunk,0.43
Madagascar,Cobra,0.445
Singapore,Magpie,0.345
Ireland,Donkey,0.36
Luxembourg,Gorilla,0.01
Romania,Raven,0.74
Missouri,Raven,0.085
TRINIDAD_AND_TOBAGO,Beaver,0.745
Thailand,Louse,0.59
Canada,Skunk,0.155
Saudi_Arabia,Raven,0.51
Ghana,Black_panther,0.575
Uganda,Alligator,0.775
Slovenia,Goose,0.065
Tonga,Louse,1
Denmark,Skunk,0.19
Washington,Partridge,0.885
Nepal,Flamingo,0.425
South_Carolina,Raven,0.325
Monaco,Coyote,0.255
Singapore,Otter,0.27
Michigan,Mallard,0.455
Hawaii,Rhinoceros,0.345
Alabama,Hyena,0.225
Spain,Pelican,0.84
NEW_ZEALAND,Reindeer,0.99
Serbia,Hyena,0.42
Arizona,Reindeer,0.89
Tonga,Baboon,0.999
Ecuador,Gerbil,0.595
Nauru,Cobra,0.565
Ghana,Manatee,0.69
New_Mexico,Heron,0.37
Italy,Lion,0.06
Virginia,Heron,0.875
Morocco,Goldfinch,0.945
Alabama,Heron,0.075
Sudan,Dolphin,0.82
New_Mexico,Cobra,0.01
Grenada,Dolphin,0.82
Guatemala,Wren,0.57
Canada,Coyote,0.11
Canada,Goldfinch,0.565
Taiwan,Hyena,0.97
South_Carolina,Jaguar,0.115
Arizona,Giant_Panda,1
Louisiana,Wren,0.87
TRINIDAD_AND_TOBAGO,Giant_Panda,0.42
NEW_ZEALAND,Beaver,0.69
Nepal,Hornet,0.22
Tunisia,Quail,0.825
Missouri,Lion,0.335
Jordan,Goldfinch,0.13
NEW_ZEALAND,Alligator,0
Nigeria,Mallard,0.14
New_Mexico,Gerbil,0.175
TRINIDAD_AND_TOBAGO,Skunk,0.265
Missouri,Fox,0.51
Mississippi,Ram,0.63
Guatemala,Heron,0.405
Nebraska,Magpie,0.49
COSTA_RICA,Rhinoceros,0.545
France,Gorilla,0.435
Singapore,Gerbil,0.985
Alaska,Hyena,0.065
Grenada,Wombat,0.64
Texas,Goose,0
Barbados,Columbidae,0.75
Mississippi,Giant_Panda,0.415
Namibia,Gerbil,0.08
Sudan,Jaguar,0.08
Nepal,Alligator,0.4
Singapore,Moose,0.81
Lithuania,Partridge,0.435
Oregon,Black_panther,0.505
Texas,Goose,0.66
Slovakia,Fox,0.955
Sudan,Mallard,0.86
North_Carolina,Hornet,0.515
Colombia,Bison,0.6
Louisiana,Columbidae,0.655
Sweden,Columbidae,0.455
Italy,Dolphin,0.26
New_Mexico,Moose,0.915
Denmark,Baboon,0.745
Kiribati,Gorilla,0.5
New_Mexico,Wren,0.325
NEW_ZEALAND,Baboon,0.605
Ethiopia,Columbidae,0.9
Guatemala,Louse,0.475
Ecuador,Quail,0.075
Virginia,Dolphin,0.73
Alaska,Gorilla,0.525
Zimbabwe,Otter,0.7
Uruguay,Pinniped,0.905
Canada,Fish,0.49
Sudan,Magpie,0.37
Latvia,Donkey,0.875
Australia,Gazelle,0.885
Florida,Mule,0.085
Nigeria,Human,0.625
New_Mexico,Moose,0.995
France,Nightingale,0.18
EQUATORIAL_GUINEA,Zebra,0.33
Lithuania,Zebra,0.96
Romania,Manatee,0.305
Nebraska,Snipe,0.9
NEW_ZEALAND,Mule,0.65
Malta,Baboon,0.58
Rhode_Island,Snipe,0.755
Illinois,Ostrich,0.715
Slovenia,Swallow,0.12
Uruguay,Fish,0.355
Ireland,Gerbil,0.54
WESTERN_SAHARA,Lion,0.18
Illinois,Moose,0.49
Mississippi,Jackal,0.215
Switzerland,Giraffe,0.87
Sudan,Chamois,0.88
WESTERN_SAHARA,Dolphin,0.175
Morocco,Swallow,0.37
NEW_ZEALAND,Cormorant,0.615
Barbados,Baboon,0.89
Nigeria,Hamster,0.02
Thailand,Baboon,0.815
Ireland,Fox,0.095
Washington,Hyena,0.06
DOMINICAN_REPUBLIC,Hornet,0.36
MARSHALL_ISLANDS,Alligator,0.405
Washington,Goldfinch,0.92
Texas,Wren,0.5
Washington,Cormorant,0.595
Latvia,Hornet,0.75
Australia,Hamster,0.495
COSTA_RICA,Coyote,0.59
Finland,Mallard,0.24
Greece,Cheetah,0.3
Nauru,Partridge,0.925
Mozambique,Beaver,0.445
Canada,Wombat,0.97
Ukraine,Gerbil,0.485
Tunisia,Lion,0.34
Maryland,Beaver,0.87
Illinois,Gazelle,0.295
Tennessee,Camel,0.6
Nepal,Nightingale,0.64
Louisiana,Cheetah,0.275
DOMINICAN_REPUBLIC,Black_panther,0.75
DOMINICAN_REPUBLIC,Peafowl,0.99
MARSHALL_ISLANDS,Black_panther,0.73
MARSHALL_ISLANDS,Mule,0.66
Arizona,Camel,0.345
Dominica,Sheep,0.96
Turkey,Moose,0.565
Dominica,Manatee,0.5
Switzerland,Hyena,0.185
Ireland,Peafowl,0.77
Malawi,Reindeer,0.695
Nepal,Mouse,0.675
Uganda,Baboon,0.925
Tonga,Beaver,0.25
TRINIDAD_AND_TOBAGO,Donkey,0.115
Spain,Hyena,0.155
WESTERN_SAHARA,Partridge,0.91
Illinois,Flamingo,0.735
Taiwan,Beaver,0.68
Lithuania,Chamois,0.345
Hawaii,Raven,0.605
Barbados,Flamingo,0.93
Sudan,Donkey,0.965
Maryland,Sheep,0.75
Virginia,Jaguar,0.865
Italy,Goldfinch,0.38
Turkey,Gazelle,0.21
Singapore,Dolphin,0.65
Arizona,Sheep,0.925
Uganda,Coyote,0.255
Ireland,Sheep,0.14
