A,B,score,
Uzbekistan,Gazelle,0.645,
Tuvalu,Dolphin,0.645,
Mississippi,Beaver,0.9,
Switzerland,Mouse,0.305,
Greece,Chamois,0.625,
New_Mexico,Jackal,0.605,
Wyoming,Swallow,0.205,
Jordan,Crow,0.385,
Georgia,Cheetah,0.865,
Monaco,Columbidae,0.535,
Arizona,Giant_Panda,1,
Morocco,Human,0.095,
Mississippi,Giraffe,0.37,
Dominica,Cormorant,0.48,
Texas,Cobra,0.62,
Washington,Reindeer,0.04,
Rhode_Island,Gazelle,0.305,
Dominica,Giraffe,0,
Tunisia,Cobra,0.95,
DOMINICAN_REPUBLIC,Giant_Panda,0.705,
Cyprus,Goldfinch,0.43,
Arizona,Moose,0.3,
Sweden,Giraffe,0.385,
Wyoming,Jaguar,0.725,
Virginia,Cheetah,0.34,
Minnesota,Wombat,0.945,
Wyoming,Coyote,0.745,
Illinois,Manatee,0.22,
Wisconsin,Lion,0.945,
Washington,Pinniped,0.805,
New_Jersey,Ostrich,0.565,
Uganda,Sheep,0.755,
TRINIDAD_AND_TOBAGO,Skunk,0.98,
Illinois,Mouse,0.9,
Michigan,Partridge,0.705,
Uganda,Cobra,0.11,
North_Carolina,Coyote,0.71,
Ireland,Sheep,0.835,
NEW_ZEALAND,Alligator,0.28,
Singapore,Zebra,0.135,
Jordan,Badger,0.22,
Ecuador,Gazelle,0.215,
Mississippi,Black_panther,0.57,
Missouri,Hornet,0.06,
Canada,Baboon,0.195,
EL_SALVADOR,Mouse,0.045,
WESTERN_SAHARA,Baboon,0.855,
Ethiopia,Reindeer,0.785,
Canada,Baboon,0.815,
Netherlands,Mallard,0.895,
Ghana,Donkey,0.215,
Oregon,Ostrich,0.995,
Jordan,Rhinoceros,0.57,
Georgia,Bison,0.035,
EL_SALVADOR,Camel,0.525,
Missouri,Snipe,0.89,
Grenada,Goose,0.51,
Sweden,Jaguar,0.28,
Georgia,Hyena,0.035,
Alabama,Nightingale,0.27,
Maryland,Otter,0.745,
Mississippi,Lion,0.485,
Maryland,Magpie,0.535,
Texas,Zebra,0.06,
Malaysia,Nightingale,0.915,
Luxembourg,Lion,0.225,
COSTA_RICA,Goose,0.335,
Nepal,Donkey,0.125,
Missouri,Ram,0.495,
Mississippi,Magpie,0.5,
Sudan,Moose,0.525,
CZECH_REPUBLIC,Nightingale,0.705,
Turkey,Giraffe,0.74,
Latvia,Coyote,0.2,
Missouri,Fox,0.705,
France,Partridge,0.295,
Hawaii,Mouse,0.69,
Taiwan,Bison,0.28,
Namibia,Black_panther,0.47,
Zimbabwe,Gazelle,0.835,
Illinois,Hyena,0.32,
Saudi_Arabia,Mouse,0.995,
Sweden,Sheep,0.39,
Kiribati,Manatee,0.87,
Nigeria,Skunk,0.03,
Ireland,Gazelle,0.165,
Slovenia,Goose,0.705,
Uzbekistan,Human,0.57,
Croatia,Fox,0.85,
Latvia,Crow,0.285,
Thailand,Pelican,0.075,
Malawi,Peafowl,0.59,
Mozambique,Columbidae,0.455,
North_Carolina,Hornet,0.85,
Georgia,Pinniped,0.65,
Italy,Pelican,0.115,
NEW_ZEALAND,Gorilla,0.84,
Canada,Sheep,0.815,
New_Jersey,Mule,0.595,
EQUATORIAL_GUINEA,Wombat,0.535,
Uruguay,Alligator,0.375,
Alaska,Ostrich,0.46,
Guatemala,Giant_Panda,0.94,
Serbia,Snipe,0.005,
Mississippi,Badger,0.43,
WESTERN_SAHARA,Cobra,0.795,
WESTERN_SAHARA,Hamster,0.485,
Tanzania,Columbidae,0.55,
Sudan,Wren,0.14,
Massachusetts,Heron,0.595,
Tunisia,Ram,0.65,
France,Gazelle,0.14,
Virginia,Raven,0.01,
Malaysia,Heron,0.475,
Rhode_Island,Mallard,0.915,
Michigan,Cobra,0.33,
Arizona,Gerbil,0.635,
Cyprus,Swallow,0.045,
California,Goose,0.305,
DOMINICAN_REPUBLIC,Heron,0.145,
Tunisia,Donkey,0.75,
WESTERN_SAHARA,Gazelle,0.04,
Illinois,Mouse,0.785,
Tennessee,Gorilla,0.775,
Italy,Hamster,0.345,
Slovenia,Hamster,0.74,
Mozambique,Ram,0.1,
