X,Y,Z,score
Romania,Zebra,36,0.08
Ireland,Crow,56,0.5
Maine,Cobra,35,0.395
Grenada,Camel,43,0.335
Australia,Bison,36,0.895
Netherlands,Heron,14,0.91
Dominica,Cormorant,48,0.995
EL_SALVADOR,Magpie,52,0.08
Maryland,Gerbil,37,0.275
Greece,Snipe,11,0.98
Australia,Pelican,50,0.445
Lithuania,Mallard,49,0.77
Arizona,Fish,55,0.25
Morocco,Mallard,19,0.88
Barbados,Gorilla,11,0.97
Malta,Coyote,11,0.2
North_Carolina,Skunk,21,0.9
Latvia,Fox,46,0.07
EL_SALVADOR,Mouse,27,0.175
Croatia,Donkey,16,0.76
Washington,Moose,52,0.645
Romania,Manatee,48,0.93
Italy,Swallow,7,0.36
Tonga,Louse,31,0.815
Tennessee,Cormorant,45,0.185
Luxembourg,Mallard,16,0.965
Malta,Gerbil,11,0.645
New_Mexico,Mule,0,0.355
Zimbabwe,Wren,20,0.995
Spain,Mule,48,0.26
Ecuador,Sheep,46,0.89
Nebraska,Mule,3,0.885
Maryland,Hornet,12,0.825
Nepal,Ram,54,0.47
Malawi,Gazelle,30,0.64
Illinois,Hornet,12,0.365
France,Pelican,30,0.905
Zimbabwe,Columbidae,33,0.475
Ghana,Cheetah,33,0.21
Hawaii,Gazelle,49,0.015
Georgia,Sheep,34,0.2
Nauru,Cobra,20,0.535
Samoa,Gazelle,16,0.935
Turkey,Ram,26,0.41
Maryland,Goose,35,0.92
Massachusetts,Heron,9,0.97
Alabama,Fish,31,0.23
Switzerland,Heron,31,0.625
Croatia,Ostrich,43,0.035
Uzbekistan,Gazelle,34,0.945
Guatemala,Flamingo,54,0.135
Romania,Baboon,45,0.255
Alaska,Magpie,45,0.835
NEW_ZEALAND,Hornet,4,0.845
Latvia,Coyote,29,0.07
Latvia,Bison,16,0.085
Tonga,Baboon,3,0.97
Maine,Hornet,58,0.025
Uzbekistan,Nightingale,51,0.975
Pennsylvania,Mallard,52,0.775
Maryland,Cormorant,6,0.695
Morocco,Giant_Panda,31,0.855
Uzbekistan,Mouse,31,0.52
Michigan,Flamingo,46,0.56
New_Jersey,Crow,57,0.07
Nigeria,Nightingale,7,0.155
Massachusetts,Cormorant,53,0.64
Romania,Giraffe,19,0.44
WESTERN_SAHARA,Manatee,38,0.42
Serbia,Wombat,26,0.72
NEW_ZEALAND,Cheetah,53,0.205
Nepal,Flamingo,39,0.595
CZECH_REPUBLIC,Jackal,13,0.215
South_Carolina,Gerbil,39,0.01
Turkey,Reindeer,35,0.895
Nebraska,Gerbil,34,0.37
Zambia,Goldfinch,58,0.93
Texas,Ram,41,0.28
Michigan,Mule,29,0.605
Jordan,Swallow,37,0.61
Lithuania,Donkey,28,0.83
Georgia,Otter,8,0.83
Namibia,Louse,6,0.975
Mozambique,Giraffe,4,0.405
Nepal,Skunk,51,0.19
Zambia,Cheetah,0,0.2
Zambia,Pelican,9,0.37
Zimbabwe,Hornet,52,0.295
Uganda,Ostrich,15,0.975
Minnesota,Columbidae,10,0.625
North_Carolina,Skunk,19,0.345
Ukraine,Camel,54,0.665
Uganda,Raven,38,0.285
Kiribati,Coyote,6,0.795
Illinois,Gorilla,47,0.215
Tunisia,Louse,49,0.425
Namibia,Camel,59,0.195
Monaco,Beaver,52,0.55
Wisconsin,Cormorant,17,0.905
COSTA_RICA,Beaver,42,0.855
Texas,Quail,13,1
Monaco,Skunk,17,0.25
Grenada,Peafowl,20,0.555
Malawi,Coyote,48,0.525
Cyprus,Beaver,34,0.135
France,Jackal,5,0.84
Sudan,Mule,29,0.015
NEW_ZEALAND,Sheep,35,0.06
Tunisia,Wren,38,0.985
Georgia,Wren,26,0.925
Hawaii,Coyote,18,0.36
Tanzania,Magpie,30,0.285
Illinois,Raven,57,0.105
Malawi,Otter,5,0.215
Morocco,Rhinoceros,43,0.07
NEW_ZEALAND,Partridge,47,0.225
Tonga,Manatee,58,0.65
Australia,Quail,52,0.61
Canada,Hyena,42,0.29
NEW_ZEALAND,Quail,29,0.44
EL_SALVADOR,Bison,59,0.575
North_Carolina,Heron,15,0.86
Italy,Ram,32,0.93
Wyoming,Donkey,3,0.655
Sudan,Camel,9,0.895
Samoa,Beaver,55,0.83
Zimbabwe,Wren,7,0.05
Slovenia,Jaguar,13,0.095
Massachusetts,Snipe,57,0.57
Tonga,Moose,40,0.885
Massachusetts,Swallow,46,0.46
New_Jersey,Otter,33,0.215
Washington,Otter,13,0.99
Massachusetts,Goldfinch,52,0.505
Malaysia,Gorilla,6,0.34
Nebraska,Gerbil,15,0.665
Arizona,Gerbil,51,0.685
Texas,Gazelle,19,0.73
Uzbekistan,Magpie,51,0.465
Hawaii,Alligator,23,0.105
Florida,Rhinoceros,22,0.21
Japan,Beaver,5,0.11
Latvia,Giant_Panda,4,0.44
Uganda,Heron,29,0.985
WESTERN_SAHARA,Reindeer,35,0.465
Guatemala,Badger,58,0.685
Barbados,Badger,49,0.465
Romania,Pinniped,43,0.62
Guatemala,Goose,3,0.645
Lithuania,Cheetah,46,0.265
New_Jersey,Fish,22,0.52
Missouri,Louse,44,0.565
NEW_ZEALAND,Heron,54,0.385
Missouri,Manatee,12,0.495
EL_SALVADOR,Magpie,21,0.505
Serbia,Quail,52,0.1
Wyoming,Giant_Panda,9,0.375
MARSHALL_ISLANDS,Crow,29,0.98
Oregon,Mouse,0,0.515
Illinois,Dolphin,15,0.1
New_Mexico,Raven,20,0.49
Oregon,Magpie,7,0.36
Grenada,Columbidae,26,0.26
Ethiopia,Fox,39,0.39
Ethiopia,Dolphin,14,0.965
Sweden,Camel,8,0.92
Maine,Chamois,10,0.87
CZECH_REPUBLIC,Heron,34,0.62
Latvia,Alligator,23,0.035
Pennsylvania,Columbidae,50,0.92
Malaysia,Dolphin,36,0.78
Ghana,Skunk,52,0.49
New_Jersey,Jaguar,33,0.145
Rhode_Island,Pinniped,17,0.98
Nauru,Raven,5,0.095
Malaysia,Pinniped,54,0.145
Tennessee,Pinniped,5,0.465
Spain,Quail,24,0.335
Michigan,Mouse,50,0.78
Latvia,Hyena,49,0.5
WESTERN_SAHARA,Badger,59,0.39
Georgia,Crow,26,0.455
California,Crow,49,0.305
Mississippi,Goose,25,0.28
Switzerland,Skunk,2,0.05
Maine,Hamster,11,0.87
Louisiana,Raven,11,0.35
New_Mexico,Badger,53,0.96
COSTA_RICA,Giraffe,39,0.84
Japan,Jackal,54,0.54
TRINIDAD_AND_TOBAGO,Hyena,38,0.47
Alabama,Giraffe,12,0.445
WESTERN_SAHARA,Otter,42,0.305
Romania,Goldfinch,20,0.775
Latvia,Human,31,0.11
Maine,Fox,34,0.73
TRINIDAD_AND_TOBAGO,Hornet,12,0.86
Malaysia,Goose,38,0.21
Washington,Fish,55,0.595
TRINIDAD_AND_TOBAGO,Manatee,13,0.41
Kiribati,Heron,7,0.695
Vatican_City,Magpie,20,0.635
Pennsylvania,Moose,11,0.47
Illinois,Sheep,58,0.025
Latvia,Crow,15,0.28
France,Magpie,19,0.18
Romania,Badger,19,0.37
Alabama,Rhinoceros,45,0.39
Illinois,Nightingale,6,0.005
Wyoming,Magpie,2,0.415
Netherlands,Otter,47,0.92
Nebraska,Rhinoceros,12,0.02
Zambia,Quail,11,0.265
Croatia,Gorilla,31,0.8
Barbados,Crow,13,0.16
France,Skunk,28,0.05
Nigeria,Nightingale,26,0.955
Grenada,Hyena,28,0.67
DOMINICAN_REPUBLIC,Cormorant,57,0.045
Slovenia,Manatee,30,0.23
Maine,Badger,37,0.95
Tonga,Sheep,12,0.7
Finland,Human,11,0.245
Malaysia,Black_panther,8,0.35
EQUATORIAL_GUINEA,Goldfinch,0,0.66
Slovenia,Dolphin,7,0.705
Dominica,Badger,11,0.55
Oregon,Giant_Panda,48,0.21
Michigan,Beaver,58,0.845
Tennessee,Dolphin,27,0.135
Cyprus,Heron,52,0.64
DOMINICAN_REPUBLIC,Skunk,21,0.535
Lithuania,Camel,29,0.695
CZECH_REPUBLIC,Fox,23,0.035
Tunisia,Bison,12,0.325
Arizona,Wombat,53,0.125
Minnesota,Mallard,44,0.21
Nebraska,Ostrich,23,0.465
Canada,Mouse,17,0.265
Nebraska,Fox,7,0.285
Zambia,Giraffe,23,0.755
Croatia,Baboon,38,0.11
Virginia,Swallow,22,0.175
Minnesota,Skunk,17,0.19
Uganda,Black_panther,24,0.85
Tonga,Baboon,0,0.999
Nepal,Raven,56,0.615
New_Jersey,Goldfinch,27,0.08
COSTA_RICA,Fish,40,0.985
Zambia,Swallow,22,0.22
COSTA_RICA,Magpie,24,0.73
Ghana,Giraffe,3,0.84
EL_SALVADOR,Pinniped,38,0.195
Samoa,Peafowl,25,0.81
North_Carolina,Fox,28,0.845
South_Carolina,Mule,9,0.89
Alaska,Moose,32,0.615
Switzerland,Fox,44,0.665
NEW_ZEALAND,Donkey,18,0.145
Illinois,Peafowl,29,0.08
