Italy,Crow,0.205
Turkey,Raven,0.635
Malaysia,Mallard,0.62
Lithuania,Ostrich,0.835
Mozambique,Wren,0.235
Australia,Mule,0.61
EQUATORIAL_GUINEA,Goose,0.225
WESTERN_SAHARA,Goldfinch,0.195
EQUATORIAL_GUINEA,Partridge,0.095
Malta,Peafowl,0.71
North_Carolina,Donkey,0.375
Dominica,Snipe,0.945
Denmark,Partridge,0.075
Dominica,Mallard,0.28
Ireland,Otter,0.33
Grenada,Pelican,0.86
Zambia,Hamster,0.69
Slovakia,Hamster,0.43
Nauru,Jaguar,0.5
Maine,Raven,0.55
New_Mexico,Hamster,0.58
Finland,Pelican,0.39
South_Carolina,Cheetah,0.31
North_Carolina,Chamois,0.64
Monaco,Giraffe,0.16
Spain,Columbidae,0.11
South_Carolina,Giant_Panda,0.015
Pennsylvania,Nightingale,0.245
Latvia,Partridge,0.02
Finland,Mule,0.955
Saudi_Arabia,Gazelle,0.72
Denmark,Gazelle,0.215
Morocco,Giant_Panda,0.975
Malaysia,Jaguar,0.905
Monaco,Goldfinch,0.525
Maryland,Zebra,0.945
DOMINICAN_REPUBLIC,Wren,0.275
Malta,Partridge,0.22
Italy,Magpie,0.515
Finland,Fox,0.965
Monaco,Flamingo,0.61
Dominica,Fish,0.995
Malta,Badger,0.995
Serbia,Giraffe,0.86
Texas,Human,0.325
DOMINICAN_REPUBLIC,Pinniped,0.305
Zimbabwe,Chamois,0.585
Zambia,Ram,0.165
Thailand,Hyena,0.93
France,Rhinoceros,0.605
Lithuania,Crow,0.645
Denmark,Ostrich,0.22
Dominica,Goldfinch,0.7
COSTA_RICA,Donkey,0.395
Ethiopia,Goose,0.83
Samoa,Hornet,0.79
Romania,Pelican,0.995
Jordan,Otter,0.91
Hawaii,Lion,0.51
Uganda,Hamster,0.69
Alaska,Crow,0.645
Taiwan,Ram,0.52
Australia,Otter,0.745
Switzerland,Nightingale,0.45
Alaska,Manatee,0.8
Nigeria,Ram,0.055
Netherlands,Giraffe,0.645
Missouri,Cheetah,0.815
Nauru,Cheetah,0.775
Arizona,Reindeer,0.375
Turkey,Reindeer,0.185
France,Wren,0.465
Romania,Gazelle,0.04
Turkey,Raven,0.7
Singapore,Beaver,0.61
Mississippi,Mule,0.48
Mozambique,Alligator,0.69
Ukraine,Chamois,0.505
Hawaii,Camel,0.56
Uzbekistan,Gerbil,0.305
Ghana,Louse,0.15
Thailand,Cormorant,0.455
Croatia,Fish,0.125
Australia,Hyena,0.29
Uzbekistan,Badger,0.505
Jordan,Chamois,0.44
Mozambique,Giant_Panda,0.945
Hawaii,Pelican,0.925
Vatican_City,Badger,0.025
Nepal,Pelican,0.03
Nauru,Donkey,0.655
Zimbabwe,Coyote,0.63
New_Mexico,Magpie,0.11
Jordan,Donkey,0.895
Greece,Otter,0.815
Zimbabwe,Gerbil,0.085
Georgia,Mule,0.95
MARSHALL_ISLANDS,Pelican,0.54
Spain,Moose,0.69
Nebraska,Skunk,0.95
